Country,Year of election,Type of election,Legal framework,Electoral authority independence,Contestation,Voter registration,Polling arrangements,Voting,"Counting, tabulation & reporting",Dispute adjudication,Observer access,Media coverage,Misuse of state resources,Vote-buying,Voter intimidation/obstruction,Candidate intimidation/obstruction,Overall assessment of the election
Bosnia and Herzegovina,2006,combined presidential and parliamentary,3,2,2,2,2,2,4,1,1,2,2,1,2,2,2
Bulgaria,1996,presidential,2,2,2,2,1,1,1,9,1,2,9,1,1,1,1
Bulgaria,1997,parliamentary,2,1,1,2,9,1,2,9,2,3,3,1,1,1,2
Bulgaria,2001,parliamentary,2,1,2,2,2,1,2,2,2,2,9,1,1,1,1
Bulgaria,2005,parliamentary,2,2,1,2,2,2,9,9,1,2,3,3,2,2,3
Bulgaria,2006,presidential,2,1,1,2,2,2,2,2,1,2,2,1,1,1,2
Burundi,2005,parliamentary,2,1,2,9,2,3,3,4,1,3,9,1,3,1,3
Colombia,2002,presidential,3,2,1,3,2,2,2,3,1,3,1,1,3,4,2
Democratic Republic of Congo,2006,combined presidential and parliamentary,3,3,1,4,2,3,3,4,3,5,4,1,4,4,3
Congo,2002,presidential,9,4,3,4,4,4,5,9,3,4,5,1,2,3,4
Croatia,1995,parliamentary,4,1,1,4,4,4,4,9,4,4,9,1,1,1,3
Croatia,1997,presidential,9,9,9,3,9,3,9,9,3,5,4,1,9,4,5
Croatia,2000,parliamentary,3,1,1,3,3,2,2,1,2,2,.,1,2,1,2
Croatia,2000,presidential,3,1,1,2,3,2,2,1,2,1,1,1,1,1,2
Croatia,2003,parliamentary,3,1,1,2,2,2,2,1,1,1,2,1,1,2,2
Czech Republic,1998,parliamentary,2,9,2,1,2,1,1,1,2,1,1,1,1,1,1
Czech Republic,2002,parliamentary,2,1,1,2,9,9,9,2,2,1,9,1,1,1,1
Dominican Republic,1998,parliamentary,9,1,9,9,1,1,1,9,1,9,3,9,2,9,1
Dominican Republic,2000,presidential,9,2,9,3,2,2,2,9,1,9,2,2,3,3,2
Dominican Republic,2002,parliamentary,2,1,1,1,1,2,1,9,1,9,9,1,1,1,1
Ecuador,1996,combined presidential and parliamentary,9,1,1,2,2,1,2,1,1,1,9,1,1,1,2
Ecuador,1998,combined presidential and parliamentary,9,1,1,2,2,2,2,9,1,3,2,1,1,1,1
Ecuador,2002,combined presidential and parliamentary,2,2,1,2,2,2,2,3,1,2,3,1,1,1,2
El Salvador,2004,presidential,9,1,9,9,9,1,1,1,1,9,9,1,9,1,1
Estonia,1999,parliamentary,1,1,1,1,1,1,1,9,1,2,2,1,1,1,1
Ethiopia,2005,parliamentary,3,3,2,9,3,3,5,4,3,4,3,1,3,4,4
Georgia,1999,parliamentary,3,4,3,3,2,3,3,4,2,4,3,1,3,9,3
Georgia,2000,presidential,3,3,2,3,2,3,4,4,2,4,3,1,1,1,3
Georgia,2003,parliamentary,2,4,2,4,4,4,5,3,3,3,4,2,5,3,5
Georgia,2004,parliamentary,2,3,1,3,2,2,3,3,2,3,3,1,2,2,3
Georgia,2004,presidential,2,2,1,3,2,3,3,1,2,3,3,1,1,2,3
Grenada,1999,parliamentary,2,1,9,2,2,1,1,9,1,9,9,2,1,1,1
Grenada,2003,parliamentary,9,1,9,2,2,2,2,9,2,9,9,9,9,9,2
Guatemala,1995,combined presidential and parliamentary,9,2,9,2,3,2,2,1,2,9,2,2,3,3,1
Guatemala,1999,combined presidential and parliamentary,2,1,1,2,2,2,2,1,1,9,9,1,1,9,1
Guinea Bissau,2005,presidential,3,1,1,2,2,2,2,2,2,3,4,4,9,1,2
Guyana,1997,combined presidential and parliamentary,9,2,9,3,2,2,3,9,1,2,9,1,9,9,3
Guyana,2001,combined presidential and parliamentary,9,2,9,2,3,2,3,9,2,3,9,1,1,1,3
Haiti,2000,parliamentary,3,3,9,2,3,2,5,4,2,3,9,2,2,4,4
Honduras,2001,combined presidential and parliamentary,9,1,2,2,2,1,2,9,1,9,9,1,1,1,1
Hungary,1998,parliamentary,2,1,2,1,1,2,1,2,1,2,1,1,1,1,1
Hungary,2002,parliamentary,1,2,1,1,1,9,9,2,1,3,4,1,1,1,2
Kazakhstan,1999,parliamentary,3,4,2,9,9,3,4,4,3,3,3,3,3,4,4
Kazakhstan,1999,presidential,4,3,3,2,2,3,3,3,3,5,3,1,3,3,4
Kazakhstan,2004,parliamentary,4,4,4,3,3,4,4,4,3,4,9,1,4,4,4
Kazakhstan,2005,presidential,3,2,1,3,2,2,4,3,3,4,9,1,4,4,3
Kenya,2002,combined presidential and parliamentary,3,2,2,4,2,3,1,9,1,3,9,3,2,3,3
Kyrgyzstan,2000,parliamentary,2,4,5,3,3,3,3,4,2,4,9,2,3,3,4
Kyrgyzstan,2000,presidential,2,2,3,3,9,2,4,9,3,5,4,1,4,3,3
Kyrgyzstan,2005,parliamentary,3,4,4,4,9,3,3,4,3,4,4,5,4,9,4
Kyrgyzstan,2005,presidential,2,3,2,3,9,2,3,2,2,3,2,1,1,1,3
Latvia,1998,parliamentary,2,1,1,9,2,9,9,9,9,9,9,9,9,9,2
Latvia,2002,parliamentary,2,1,1,9,1,2,1,1,1,1,2,1,1,1,1
Latvia,2006,parliamentary,2,1,1,9,2,2,1,1,2,1,2,1,1,1,1
Liberia,2005,combined presidential and parliamentary,2,2,2,2,2,2,2,2,1,3,3,2,2,2,2
Lithuania,1996,parliamentary,9,1,9,9,3,3,1,9,1,1,2,2,1,1,2
Macedonia,1998,parliamentary,2,2,3,3,2,3,3,3,2,3,9,2,3,3,3
Macedonia,1999,presidential,2,2,1,2,2,3,3,3,2,2,2,1,2,2,3
Macedonia,2002,parliamentary,2,2,1,2,2,2,2,3,1,3,2,1,2,3,3
Macedonia,2004,presidential,3,2,1,3,3,2,3,3,3,1,3,2,2,2,3
Macedonia,2006,parliamentary,2,2,1,2,2,3,4,3,1,2,3,2,3,3,3
Madagascar,2002,parliamentary,3,3,2,3,2,2,2,3,1,3,9,3,3,3,3
Malawi,2004,combined presidential and parliamentary,3,4,1,4,2,3,4,3,2,4,5,4,4,4,4
Mauritania,2006,combined presidential and parliamentary,2,2,2,2,2,2,3,3,1,2,3,1,1,1,2
Mexico,2006,combined presidential and parliamentary,2,2,2,2,2,2,2,2,1,3,3,2,2,2,2
Moldova,1996,presidential,9,1,1,2,1,3,2,9,1,3,2,1,2,1,3
Moldova,1998,parliamentary,2,1,1,2,3,2,2,9,9,3,9,1,1,2,2
Moldova,2001,parliamentary,2,1,1,3,9,1,1,1,1,2,2,1,1,1,1
Moldova,2005,parliamentary,2,3,2,3,2,2,2,3,2,3,2,1,3,9,3
Mozambique2004,2004,combined presidential and parliamentary,9,4,1,4,4,3,4,3,3,2,3,1,2,3,4
Nicaragua,1996,combined presidential and parliamentary,3,1,2,3,3,3,3,1,2,3,3,1,1,2,2
Nicaragua,2001,combined presidential and parliamentary,3,3,1,2,2,2,2,2,1,.,2,1,1,1,2
Nicaragua,2006,combined presidential and parliamentary,3,4,1,3,2,2,3,4,2,3,3,1,1,1,2
Panama,1999,combined presidential and parliamentary,9,1,9,9,1,1,1,9,1,9,9,1,1,1,1
Panama,2004,combined presidential and parliamentary,1,1,9,1,1,1,2,1,1,1,2,1,1,1,1
Paraguay,1998,parliamentary,9,1,1,2,2,2,2,2,1,9,9,1,1,1,2
Peru,1995,combined presidential and parliamentary,2,1,9,9,3,2,2,1,1,9,3,1,1,9,2
Peru,2000,combined presidential and parliamentary,3,4,3,9,3,3,4,4,3,5,5,9,4,4,4
Peru,2001,combined presidential and parliamentary,2,2,1,3,2,2,2,9,1,2,3,1,1,2,2
Romania,1996,combined presidential and parliamentary,2,2,9,4,2,3,2,9,3,3,9,1,9,9,3
Romania,2000,combined presidential and parliamentary,2,1,1,2,9,2,2,9,2,2,9,1,1,1,1
Romania,2004,combined presidential and parliamentary,2,3,1,2,3,3,3,2,2,3,2,1,2,1,2
Russia,1995,parliamentary,9,2,2,9,2,3,3,9,1,3,3,1,9,1,2
Russia,1996,presidential,9,1,1,2,9,2,2,9,2,3,4,1,1,2,2
Russia,1999,parliamentary,2,2,2,9,2,2,3,9,9,4,4,1,2,3,2
Russia,2000,presidential,2,1,2,9,2,2,2,9,2,3,3,1,1,1,2
Russia,2003,parliamentary,2,2,2,2,2,2,3,2,2,4,3,1,3,3,3
Russia,2004,presidential,2,2,2,2,9,3,3,2,3,4,3,1,2,2,4
Rwanda,2003,combined presidential and parliamentary,3,4,3,2,3,4,4,3,3,3,3,3,3,4,4
Siera Leone,2002,combined presidential and parliamentary,9,2,2,4,2,3,3,3,1,3,2,1,2,3,3
Serbia and Montenegro,2003,parliamentary,3,2,2,3,2,2,2,2,1,2,9,1,1,1,2
Serbia and Montenegro,2004,presidential,2,1,1,2,2,1,1,1,1,2,1,1,1,2,2
Slovakia,1998,parliamentary,2,2,2,2,2,2,2,2,3,4,2,1,2,1,2
Slovakia,1999,presidential,2,1,1,2,9,2,1,1,1,2,1,1,1,1,1
Slovakia,2002,parliamentary,2,1,1,9,1,1,1,1,1,2,1,1,1,1,1
Slovakia,2004,presidential,2,1,1,1,9,1,1,1,1,1,1,1,1,1,1
Suriname,2000,combined presidential and parliamentary,9,1,1,3,2,2,2,2,1,1,9,1,1,1,2
Tadjikistan,2000,parliamentary,3,3,3,3,3,3,4,3,3,4,3,9,3,4,4
Tadjikistan,2005,parliamentary,3,4,3,3,3,3,5,4,3,4,3,3,3,3,4
Tadjikistan,2006,presidential,4,4,2,3,1,3,4,9,9,4,2,1,1,1,4
Uganda,2006,combined presidential and parliamentary,3,2,3,4,3,3,3,3,1,4,4,3,3,3,4
Ukraine,1998,parliamentary,3,1,2,9,2,3,3,3,1,4,4,3,1,4,3
Ukraine,1999,presidential,3,3,2,3,9,3,3,3,1,4,3,1,4,5,4
Ukraine,2002,parliamentary,3,3,2,3,2,3,3,3,2,3,4,3,4,4,2
Ukraine,2004,presidential,3,3,2,3,3,3,4,3,2,4,3,1,4,4,3
Ukraine,2006,parliamentary,2,2,1,2,2,2,3,2,1,2,2,1,2,3,2
Uzbekistan,1999,parliamentary,5,5,5,9,9,9,9,4,4,5,4,9,3,4,5
Uzbekistan,2004,parliamentary,4,5,5,9,9,9,9,9,4,4,3,9,3,3,5
Venezuela,1998,presidential,9,1,9,2,2,1,1,9,2,9,1,1,1,1,1
Venezuela,1999,parliamentary,9,1,9,1,2,2,1,9,1,9,2,1,1,2,2
Venezuela,2000,combined presidential and parliamentary,9,1,1,3,3,2,2,2,1,1,9,1,1,1,2
Venezuela,2006,presidential,2,2,1,2,3,3,1,1,2,4,4,1,3,2,2
Zambia,2006,combined presidential and parliamentary,3,2,2,3,2,2,3,9,2,3,3,3,2,1,2
Zimbabwe,2000,parliamentary,9,4,9,4,2,2,2,4,3,4,3,1,5,9,3
